market,is_cumulative,seq,code,name,board_date,purpose_code,amount_cap,planned_shares,price_low,price_high,period_start,period_end,done,standard_data,bought_shares,cancelled_transferred_shares,bought_ratio_pct,bought_amount,avg_price,bought_of_outstanding_pct,note,purpose_text
sii,False,538,6164,華興,105/05/12,3,"208,841,327","10,000,000",6.50,14.50,105/05/12,105/07/11,Y,,"8,303,000","8,303,000",83.03,"95,842,094",11.54,7.02,"為顧及股東權益,並考量買回期間股價呈穩定趨勢,採取低接不追高原則,因而未依原預定數量完全執行完畢",維護公司信用及股東權益並辦理註銷
sii,False,538,6164,華興,105/11/10,3,"324,737,096","10,000,000",8.50,18.00,105/11/10,106/01/09,Y,,"10,000,000","10,000,000",100.00,"141,139,842",14.11,9.09,,維護公司信用及股東權益並辦理註銷
sii,True,累計,6164,華興,----,----,----,"38,830,000",----,----,----,----,----,,"33,803,000","33,803,000",87.05,"440,370,719",----,----,----,----
sii,False,539,6165,浪凡,91/12/25,1,"209,644,000","3,000,000",20.00,26.00,91/12/27,92/02/26,Y,,"2,518,000","2,518,000",83.93,"56,534,508",22.45,3.39,股市市況未如預期,轉讓股份予員工
sii,False,539,6165,浪凡,93/03/25,1,"197,025,000","3,000,000",16.00,30.00,93/03/26,93/04/25,Y,,"3,000,000","3,000,000",100.00,"71,157,236",23.72,3.77,,轉讓股份予員工
sii,False,539,6165,浪凡,93/11/29,3,"319,344,381","3,000,000",9.00,15.00,93/11/30,94/01/29,Y,,"3,000,000","3,000,000",100.00,"32,859,259",10.95,2.88,,維護公司信用及股東權益並辦理註銷
sii,False,539,6165,浪凡,94/01/25,3,"319,344,381","1,850,000",9.00,15.00,94/01/26,94/03/25,Y,,"1,850,000","1,850,000",100.00,"20,280,141",10.96,1.77,,維護公司信用及股東權益並辦理註銷
sii,False,539,6165,浪凡,94/04/01,3,"348,239,521","3,000,000",10.00,16.00,94/04/04,94/06/03,Y,,"3,000,000","3,000,000",100.00,"30,972,995",10.32,2.96,,維護公司信用及股東權益並辦理註銷
sii,False,539,6165,浪凡,94/09/19,3,"279,536,511","4,100,000",11.00,18.00,94/09/20,94/11/19,Y,,"4,100,000","4,100,000",100.00,"58,366,702",14.24,4.25,,維護公司信用及股東權益並辦理註銷
sii,False,539,6165,浪凡,97/07/18,1,"198,085,028","3,000,000",15.00,28.00,97/07/21,97/08/15,Y,,"1,172,000","1,172,000",39.07,"22,521,103",19.22,1.27,為維護整體股東權益，本公司視股價變化採分批買回策略，故未能執行完畢。,轉讓股份予員工
sii,False,539,6165,浪凡,99/11/02,3,"22,572,702","2,200,000",6.00,10.00,99/11/02,100/01/01,N,,,,,,,,,維護公司信用及股東權益並辦理註銷
sii,False,539,6165,浪凡,114/01/20,1,"617,498,435","2,000,000",32.00,60.00,114/01/21,114/03/19,Y,,"1,638,000","1,552,000",81.90,"74,584,795",45.53,2.11,基於維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況採取分批買回策略，故未全數執行完畢。,轉讓股份予員工
sii,False,539,6165,浪凡,114/04/11,1,"605,732,515","1,500,000",30.20,65.00,114/04/11,114/06/10,Y,,"1,482,000","1,401,000",98.80,"72,450,832",48.89,1.91,為維護股東權益及兼顧市場機制，視股價變化及成交量狀況採行分批買回策略，故未執行完畢。,轉讓股份予員工
sii,False,539,6165,浪凡,114/11/06,1,"765,092,502","1,500,000",38.00,80.00,114/11/06,115/01/05,Y,,"1,500,000",,100.00,"75,712,876",50.48,1.93,,轉讓股份予員工
sii,False,539,6165,浪凡,114/11/21,1,"835,063,018","1,500,000",34.00,78.00,114/11/21,115/01/20,Y,,"1,500,000",,100.00,"72,474,141",48.32,1.93,,轉讓股份予員工
sii,False,539,6165,浪凡,115/01/02,1,"835,063,018","1,000,000",34.00,72.00,115/01/02,115/03/01,Y,,"1,000,000",,100.00,"49,032,178",49.03,1.29,,轉讓股份予員工
sii,True,累計,6165,浪凡,----,----,----,"30,650,000",----,----,----,----,----,,"25,760,000","21,593,000",84.05,"636,946,766",----,----,----,----
sii,False,540,6166,凌華,93/12/15,1,"326,089,000","1,500,000",16.50,36.90,93/12/16,94/02/15,Y,,"1,300,000","1,300,000",86.67,"35,132,021",27.02,2.03,因考量股價維持穩定且成交量不足，並顧及股東權益,轉讓股份予員工
sii,False,540,6166,凌華,94/10/05,1,"202,545,000","2,000,000",18.97,40.25,94/10/06,94/12/05,Y,,"1,466,000","1,466,000",73.30,"39,776,215",27.13,2.00,因考量買回期間股價維持穩定並為顧及本公司股東權益，故未予以全部執行完畢,轉讓股份予員工
sii,False,540,6166,凌華,95/02/10,1,"261,479,000","2,000,000",23.14,51.50,95/02/13,95/04/12,Y,,"6,000","6,000",0.30,"206,608",34.43,0.01,考量買回期間股價維持穩定並為顧及本公司股東權益，故未予以全部執行完畢。,轉讓股份予員工
sii,False,540,6166,凌華,96/12/20,3,"624,631,000","3,000,000",23.10,53.33,96/12/21,97/02/19,Y,,"1,950,000","1,950,000",65.00,"65,501,470",33.59,1.85,市場成交量低，又適逢春節假期，交易日過少，並為顧及本公司股東權益，故未予以全部執行完畢。,維護公司信用及股東權益並辦理註銷
sii,False,540,6166,凌華,97/09/16,1,"546,747,000","3,000,000",14.42,40.44,97/09/17,97/11/16,Y,,"2,160,000","2,160,000",72.00,"45,670,188",21.14,1.89,"市場低迷,成交量少及維護股東權益等因素,致未能執行完畢。",轉讓股份予員工
sii,True,累計,6166,凌華,----,----,----,"11,500,000",----,----,----,----,----,,"6,882,000","6,882,000",59.84,"186,286,502",----,----,----,----
sii,False,541,6168,宏齊,102/11/12,1,"425,075,002","2,000,000",10.00,18.00,102/11/13,103/01/12,Y,,"1,132,000","1,132,000",56.60,"15,951,480",14.09,0.55,為維護全體股東權益及兼顧市場交易機制，並考量員工未來認股意願，本公司視股價變化及成交量狀況採分批買回策略，故未執行完畢。,轉讓股份予員工
sii,False,541,6168,宏齊,111/11/10,1,"980,087,957","5,000,000",15.00,24.00,111/11/11,112/01/10,Y,,"308,000",,6.16,"5,524,645",17.94,0.15,為維護全體股東權益及兼顧市場交易機制，本公司視股價變化及成交量狀況採分批買回策略，故未執行完畢。,轉讓股份予員工
sii,True,累計,6168,宏齊,----,----,----,"7,000,000",----,----,----,----,----,,"1,440,000","1,132,000",20.57,"21,476,125",----,----,----,----
sii,False,542,6176,瑞儀,96/12/27,1,"5,719,573,000","6,000,000",30.00,64.00,96/12/28,97/02/27,Y,,"350,000","350,000",5.83,"12,968,449",37.05,0.09,為維護整體股東權益及股價逐漸回穩致未執行完畢。,轉讓股份予員工
sii,False,542,6176,瑞儀,114/04/10,1,"27,434,270,058","10,000,000",107.00,190.00,114/04/11,114/06/10,Y,,"4,786,000",,47.86,"706,494,595",147.62,1.03,因本公司視股價變化及成交量狀況，採取適度分批買回策略，故未執行完畢。,轉讓股份予員工
sii,False,542,6176,瑞儀,115/07/30,1,"31,616,937,956","10,000,000",65.00,130.00,115/07/31,115/09/30,N,,,,,,,,,轉讓股份予員工
sii,True,累計,6176,瑞儀,----,----,----,"26,000,000",----,----,----,----,----,,"5,136,000","350,000",19.75,"719,463,044",----,----,----,----
sii,False,543,6183,關貿,94/12/28,1,"216,787,571","5,000,000",6.90,15.10,94/12/30,95/02/28,Y,,"2,763,000","2,763,000",55.26,"29,559,791",10.70,1.40,為維護股價穩定採保守低接成本為原則,轉讓股份予員工
sii,False,543,6183,關貿,95/08/25,1,"215,671,194","5,000,000",6.99,15.15,95/08/28,95/10/27,Y,,"1,128,000","1,128,000",22.56,"11,510,299",10.20,0.57,由於執行期間後期本公司股價已穩定回升，故未全數買回。,轉讓股份予員工
sii,True,累計,6183,關貿,----,----,----,"10,000,000",----,----,----,----,----,,"3,891,000","3,891,000",38.91,"41,070,090",----,----,----,----
sii,False,544,6189,豐藝,96/08/29,1,"838,013,000","1,000,000",34.50,50.00,96/08/30,96/09/30,Y,,"100,000","100,000",10.00,"3,937,000",39.37,0.07,買回期間股價穩定，並為顧及股東權益,轉讓股份予員工
sii,False,544,6189,豐藝,96/12/21,1,"1,211,668,000","1,000,000",25.00,49.00,96/12/24,97/02/20,Y,,"407,000","407,000",40.70,"12,269,300",30.15,0.24,買回期間股價穩定，並為顧及股東權益,轉讓股份予員工
sii,False,544,6189,豐藝,97/09/09,1,"959,289,000","2,000,000",15.00,25.00,97/09/10,97/11/07,Y,,"1,732,000","1,732,000",86.60,"23,254,550",13.43,0.95,為維護整體股東權益，本公司視股價變化採分批買回，故本次庫藏股未能執行完畢。,轉讓股份予員工
sii,False,544,6189,豐藝,97/11/17,1,"1,083,882,000","3,000,000",10.00,15.80,97/11/18,98/01/16,Y,,"1,033,000",,34.43,"10,010,160",9.69,0.57,為維護整體股東權益，本公司視股價變化採分批買回，故本次庫藏股未能執行完畢,轉讓股份予員工
sii,True,累計,6189,豐藝,----,----,----,"7,000,000",----,----,----,----,----,,"3,272,000","2,239,000",46.74,"49,471,010",----,----,----,----
sii,False,545,6191,精成科,97/07/04,1,"5,123,458,485","10,000,000",22.50,50.00,97/07/07,97/09/05,Y,,"6,745,000","6,745,000",67.45,"160,492,563",23.79,2.18,為兼顧協調市場機制及維護股東權益，故本次庫藏股買回執行率為67.45％。,轉讓股份予員工
sii,False,545,6191,精成科,97/09/12,1,"5,266,770,736","3,255,000",13.00,33.70,97/09/15,97/11/14,Y,,"3,205,000","3,205,000",98.46,"46,099,206",14.38,0.85,為兼顧協調市場機制及維護股東權益，故本次庫藏股買回執行率為98.46％。,轉讓股份予員工
sii,False,545,6191,精成科,104/06/29,1,"4,901,186,000","3,000,000",7.00,10.00,104/06/30,104/08/29,Y,,"900,000","900,000",30.00,"6,852,572",7.61,0.17,考量員工未來認股意願、兼顧股東權益及後續資金運用之效益，故本次庫藏股未能執行完畢。,轉讓股份予員工
